,会社名,求人タイトル
154,UTエイム株式会社 | 【東証一部上場グループ】安定基盤！,貯金UPを目指せる！【機械操作スタッフ】★月収42万円以上可能 正社員
155,株式会社エクストリンク | 入社半年後の平均月収43万円【大阪府緊急雇用対策に賛同】,"＼年収1,000万円も夢じゃない！／IT商材を扱う【ルート営業】 正社員"
156,株式会社エンリード不動産 | 前年比400%成長のスタートアップ | ★完全週休2日★年休120日~,未経験・第二新卒歓迎！リノベーションを手掛ける【不動産営業】 正社員
157,住友不動産株式会社 | 【東証一部上場】★全領域で業界トップクラス！平均年収710万円,総合デベロッパー！住友不動産の【建築スペシャリスト】 正社員
158,"住友不動産株式会社 | 【東証一部上場】★転勤なし ★5人に1人が年収1,000万円以上！",未経験から家づくりのプロに！【注文住宅営業】◆平均年収760万 正社員
159,株式会社タウン住宅販売 | 設立40年以上｜長く安定的に働ける制度充実｜年収700万円以上可,【営業職】未経験歓迎！平均残業時間10h/ゼロから学べる大手環境 正社員
160,株式会社グッドワークコミュニケーションズ | 1年目の平均月給36万円／研修2ヵ月／基本定時退社／年休120日,【営業職】◆1年目から高収入◆平均年齢27歳◆未経験入社95％ 正社員
161,株式会社アイネスト | #夏季休暇9連休＆年末年始休暇17連休 #有給取得率100%,「作品」と呼ぶにふさわしい邸宅をプロデュースする【用地仕入】 正社員
162,DSP株式会社 | <大阪府緊急雇用対策に賛同>【完全週休2日】【産休育休実績有】,未経験OK！集客を支援する【法人営業】★土日祝休★残業ほぼなし 正社員
163,ジャパニアス株式会社 | ◇大手中心◇未経験OK◇時間外100％支給◇転勤なし◇年休125日,【モノづくりエンジニア】★200社以上と取引実績★22年黒字経営 正社員
164,シーズクリエイト株式会社 | <上場企業>★年収1500万円以上も可能★条件合う方全員と面接！,未経験OK！【マンション企画開発】★残業月20h以下★土日休み 正社員
165,ジャパニアス株式会社 | 【全国11拠点展開】◆有給消化70％◆テレワーク約7割◆土日祝休,22年連続黒字！大手案件多数【インフラエンジニア】★年休125日 正社員
166,ジャパニアス株式会社 | 全国11拠点展開◇全国募集で転勤なし◇有給消化70％◇残業月20H,【ITエンジニア(ミドルウェア・パッケージ)】★テレワーク約7割 正社員
